10000,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10000 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10047,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10047 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10042,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10042 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10048,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10048 Either the zip code does not exist or it was entered incorrectly. Support Help and Support Center Tracking Support Where’s My Package Shipping Guides and Resources Internationa",https://www.ups.com/maps/?loc=en_CB
10049,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10049 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10052,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10052 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10051,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10051 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10050,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10050 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10053,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10053 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10057,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10057 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10054,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10054 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10058,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10058 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10061,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10061 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10056,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10056 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10059,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10059 Either the zip code does not exist or it was entered incorrectly. Support Help and Support Center Tracking Support Where’s My Package Shipping Guides and Resources Internationa",https://www.ups.com/maps/?loc=en_CB
10063,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10063 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10066,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10066 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10062,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10062 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10064,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10064 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10067,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"Log In Log In Sign Up Hello there! Create a profile and receive access to: Personalized discounts up to 83% off Tracking notifications Saved addresses for faster shipping U.S. Ground Maps Error Sorry, there is no information for zip code: 10067 Eithe",https://www.ups.com/maps/?loc=en_CB
10071,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10071 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10070,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10070 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10068,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10068 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10072,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10072 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
10076,,,,,,,SKIPPED,WAIT_RESULT,NO_DATA,"U.S. Ground Maps Error Sorry, there is no information for zip code: 10076 Either the zip code does not exist or it was entered incorrectly.",https://www.ups.com/maps/?loc=en_CB
